"UF","nome","PIB","Pop_est_2009","PIB_percapita","v0002_codigo_do_municipio","educação sem instrução","pobreza","renda"
"SANTA CATARINA","Garuva",276213.59375,14281,19341.33007812,4205803,61.57240877358825,20.530670823100586,2570.760517821846
"AMAZONAS","Anori",74464.953125,14688,5069.77978516,1300102,77.1771238254151,74.9589251398843,1237.5165530839085
"MINAS GERAIS","Cuparaque",25417.3125,4561,5572.75,3120839,74.69259422504034,53.597507934458896,1185.0121841317407
"SANTA CATARINA","Balneário Camboriú",1712670.375,102081,16777.56054688,4202008,37.04927791115142,6.119898613692158,4536.933792207406
"BAHIA","Amargosa",162852.53125,35278,4616.25976562,2901007,71.74879768918528,60.13415845962902,1280.864770237378
"RIO DE JANEIRO","Itaperuna",1283837.125,99454,12908.84960938,3302205,56.85840800132338,26.059076094804695,2140.460383886108
"RONDÔNIA","Vale do Anari",114088.8984375,9100,12537.24023438,1101757,77.62471264297345,57.83219288610928,1340.6284381230976
"SÃO PAULO","Barrinha",267717.03125,27169,9853.76953125,3505609,64.1145309923238,17.920530983844444,2358.802525644374
"SÃO PAULO","Pirajuí",207463.359375,22192,9348.55957031,3538907,56.97961992134529,18.82634570339572,2417.3859282794256
"SÃO PAULO","Chavantes",208633.546875,12688,16443.36914062,3557204,60.30611186057254,22.79820203304216,2375.9690179418617
"GOIÁS","Bonópolis",37179.375,3413,10893.45996094,5203575,76.18659570639838,47.576651149162814,1297.3308157000565
"CEARÁ","Barro",77142.3359375,21556,3578.68994141,2302008,73.44301006326906,67.55574957647327,925.0957550910383
"MARANHÃO","Turiaçu",120007.84375,33649,3566.45996094,2112407,79.07867833768258,78.9928934178764,776.9008337104076
"MINAS GERAIS","Couto de Magalhães de Minas",21101.953125,4560,4627.62011719,3120102,66.99514087114906,55.08829506564712,1211.6160601363354
"MINAS GERAIS","Varjão de Minas",89225.984375,6520,13684.96972656,3170750,63.78256407991104,25.068830648557125,1777.6151535283866
"MATO GROSSO DO SUL","Deodápolis",102620.125,11600,8846.55957031,5003454,63.78891186324364,26.034865168277392,1948.8729041497656
"MINAS GERAIS","Felixlândia",146535.953125,14287,10256.58984375,3125705,72.3639195788247,40.49338251669325,1523.0900889156562
"MATO GROSSO","União do Sul",95659.96875,4093,23371.59960938,5108303,72.60139912604606,39.21690271449007,1775.2039624129184
"SANTA CATARINA","Curitibanos",541725.9375,39045,13874.40039062,4204806,61.91108349835257,28.51396355924151,2144.71350450245
"PARAÍBA","Itatuba",52518.5,10182,5157.97021484,2507200,81.16859591757563,69.82983041500586,867.3658965053958
"GOIÁS","Santa Tereza de Goiás",29901.0078125,4141,7220.72021484,5219605,66.16469091098692,53.521887874072284,1165.3557697298995
